"","Indicator","VAR","obs","years","database"
"97","Dependency Ratio, Youth (% -15 over population 15-64)_Total","YOU_DEP_RA_T",388,"2014, 2015","Demographic"
"98","Growth/Shrinking Index of the 65+ Elderly Population (2001=100)_Total","POP_65M_GI_T",362,"2014, 2015","Demographic"
"99","Growth/Shrinking Index of the Total Population (2001=100)_Total","POP_TOT_GI_T",388,"2014, 2015","Demographic"
"100","Infant Mortality Rate (less than 1 year deaths for 1 000 live births)_Females","INF_MORT_F",98,"2013, 2011, 2012","Demographic"
"101","Infant Mortality Rate (less than 1 year deaths for 1 000 live births)_Males","INF_MORT_M",99,"2013, 2011, 2012, 2009","Demographic"
"102","Infant Mortality Rate (less than 1 year deaths for 1 000 live births)_Total","INF_MORT_T",368,"2013, 2011, 2012, 2014","Demographic"
"103","Infant Mortality Rate - Gender difference (female-male)_Total","INF_SEXDIF_T",98,"2013, 2011, 2012","Demographic"
"104","Inter-regional migration rate, (% migrants over population)_Total","FLOWMIG_ALL_RA_T",329,"2013, 2014, 2012, 2009, 2011, 2010, 2006, 2008","Demographic"
"105","Inter-regional net flows migration rate, (% net flows over population)_Total","NETMIG_ALL_RA_T",328,"2013, 2014, 2012, 2009, 2011, 2010, 2006, 2008","Demographic"
"106","Life Expectancy at Birth_Females","LIFE_EXP_F",330,"2013, 2011, 2012, 2010, 2014","Demographic"
"107","Life Expectancy at Birth_Males","LIFE_EXP_M",330,"2013, 2011, 2012, 2010, 2014","Demographic"
"108","Life Expectancy at Birth_Total","LIFE_EXP_T",372,"2013, 2011, 2012, 2010, 2014","Demographic"
"109","Life Expectancy at Birth - Gender difference in Years (female-male)_Total","LIFE_SEXDIF_T",330,"2013, 2011, 2012, 2010, 2014","Demographic"
"110","Net inter-regional migration, All Persons (inflows minus outflows)_Total","NETMIG_ALL_T",328,"2013, 2014, 2012, 2009, 2011, 2010, 2006, 2008","Demographic"
"111","Net inter-regional migration, Persons aged 15 to 29(inflows minus outflows)_Total","NETMIG_15_29_T",192,"2013, 2012, 2011, 2014","Demographic"
"112","New residents in the region aged 15 to 29 coming from another region of the same country_Total","INMIG_15_29_T",192,"2013, 2012, 2011, 2014","Demographic"
"113","New residents in the region coming from another region of the same country_Total","INMIG_ALL_T",297,"2013, 2014, 2012, 2009, 2011, 2010, 2006, 2008","Demographic"
"114","Old Population Group (65+)_Females","Y65_MAX_F",388,"2014, 2015","Demographic"
"115","Old Population Group (65+)_Males","Y65_MAX_M",388,"2014, 2015","Demographic"
"116","Old Population Group (65+)_Total","Y65_MAX_T",388,"2014, 2015","Demographic"
"117","Persons aged 15 to 29 who left the region to reside in another region of the same country_Total","OUTMIG_15_29_T",192,"2013, 2012, 2011, 2014","Demographic"
"118","Persons who left the region to reside in another region of the same country_Total","OUTMIG_ALL_T",296,"2013, 2014, 2012, 2009, 2011, 2010, 2006, 2008","Demographic"
"119","Population density (pop. per km2)_Total","POP_DEN_T",388,"2014, 2015","Demographic"
"120","Population density growth index (2001=100)_Total","POP_DEN_GR_T",388,"2014, 2015","Demographic"
"121","Population, 0-4_Females","Y0_4_F",388,"2014, 2015","Demographic"
"122","Population, 0-4_Males","Y0_4_M",388,"2014, 2015","Demographic"
"123","Population, 0-4_Total","Y0_4_T",388,"2014, 2015","Demographic"
"124","Population, 10-14_Females","Y10_14_F",388,"2014, 2015","Demographic"
"125","Population, 10-14_Males","Y10_14_M",388,"2014, 2015","Demographic"
"126","Population, 10-14_Total","Y10_14_T",388,"2014, 2015","Demographic"
"127","Population, 15-19_Females","Y15_19_F",388,"2014, 2015","Demographic"
"128","Population, 15-19_Males","Y15_19_M",388,"2014, 2015","Demographic"
"129","Population, 15-19_Total","Y15_19_T",388,"2014, 2015","Demographic"
"130","Population, 20-24_Females","Y20_24_F",388,"2014, 2015","Demographic"
"131","Population, 20-24_Males","Y20_24_M",388,"2014, 2015","Demographic"
"132","Population, 20-24_Total","Y20_24_T",388,"2014, 2015","Demographic"
"133","Population, 25-29_Females","Y25_29_F",388,"2014, 2015","Demographic"
"134","Population, 25-29_Males","Y25_29_M",388,"2014, 2015","Demographic"
"135","Population, 25-29_Total","Y25_29_T",388,"2014, 2015","Demographic"
"136","Population, 30-34_Females","Y30_34_F",388,"2014, 2015","Demographic"
"137","Population, 30-34_Males","Y30_34_M",388,"2014, 2015","Demographic"
"138","Population, 30-34_Total","Y30_34_T",388,"2014, 2015","Demographic"
"139","Population, 35-39_Females","Y35_39_F",388,"2014, 2015","Demographic"
"140","Population, 35-39_Males","Y35_39_M",388,"2014, 2015","Demographic"
"141","Population, 35-39_Total","Y35_39_T",388,"2014, 2015","Demographic"
"142","Population, 40-44_Females","Y40_44_F",388,"2014, 2015","Demographic"
"143","Population, 40-44_Males","Y40_44_M",388,"2014, 2015","Demographic"
"144","Population, 40-44_Total","Y40_44_T",388,"2014, 2015","Demographic"
"145","Population, 45-49_Females","Y45_49_F",388,"2014, 2015","Demographic"
"146","Population, 45-49_Males","Y45_49_M",388,"2014, 2015","Demographic"
"147","Population, 45-49_Total","Y45_49_T",388,"2014, 2015","Demographic"
"148","Population, 5-9_Females","Y5_9_F",388,"2014, 2015","Demographic"
"149","Population, 5-9_Males","Y5_9_M",388,"2014, 2015","Demographic"
"150","Population, 5-9_Total","Y5_9_T",388,"2014, 2015","Demographic"
"151","Population, 50-54_Females","Y50_54_F",388,"2014, 2015","Demographic"
"152","Population, 50-54_Males","Y50_54_M",388,"2014, 2015","Demographic"
"153","Population, 50-54_Total","Y50_54_T",388,"2014, 2015","Demographic"
"154","Population, 55-59_Females","Y55_59_F",388,"2014, 2015","Demographic"
"155","Population, 55-59_Males","Y55_59_M",388,"2014, 2015","Demographic"
"156","Population, 55-59_Total","Y55_59_T",388,"2014, 2015","Demographic"
"157","Population, 60-64_Females","Y60_64_F",388,"2014, 2015","Demographic"
"158","Population, 60-64_Males","Y60_64_M",388,"2014, 2015","Demographic"
"159","Population, 60-64_Total","Y60_64_T",388,"2014, 2015","Demographic"
"160","Population, 65-69_Females","Y65_69_F",388,"2014, 2015","Demographic"
"161","Population, 65-69_Males","Y65_69_M",388,"2014, 2015","Demographic"
"162","Population, 65-69_Total","Y65_69_T",388,"2014, 2015","Demographic"
"163","Population, 70-74_Females","Y70_74_F",388,"2014, 2015","Demographic"
"164","Population, 70-74_Males","Y70_74_M",388,"2014, 2015","Demographic"
"165","Population, 70-74_Total","Y70_74_T",388,"2014, 2015","Demographic"
"166","Population, 75-79_Females","Y75_79_F",388,"2014, 2015","Demographic"
"167","Population, 75-79_Males","Y75_79_M",388,"2014, 2015","Demographic"
"168","Population, 75-79_Total","Y75_79_T",388,"2014, 2015","Demographic"
"169","Population, 80+_Females","Y80_MAX_F",388,"2014, 2015","Demographic"
"170","Population, 80+_Males","Y80_MAX_M",388,"2014, 2015","Demographic"
"171","Population, 80+_Total","Y80_MAX_T",388,"2014, 2015","Demographic"
"172","Population, All ages_Females","T_F",388,"2014, 2015","Demographic"
"173","Population, All ages_Males","T_M",388,"2014, 2015","Demographic"
"174","Population, All ages_Total","T_T",388,"2014, 2015","Demographic"
"175","Regional surface_Total","SURF_T",388,"2015","Demographic"
"176","Sex Ratio, Elderly Population (% 65+ population males over females )_Total","SR_ELD_RA_T",388,"2014, 2015","Demographic"
"177","Sex Ratio, Total Population (% population males over females )_Total","SR_TOT_RA_T",388,"2014, 2015","Demographic"
"178","Sex Ratio, Youth Population (% -15 population males over females )_Total","SR_YOU_RA_T",388,"2014, 2015","Demographic"
"179","Share of Elderly Population (% 65+ over total population)_Total","POP_65M_SH_T",388,"2014, 2015","Demographic"
"180","Share of Very Elderly Population (% 80+ over total population)_Total","POP_80M_SH_T",388,"2014, 2015","Demographic"
"181","Working Age Population Group (15-64)_Females","Y15_64_F",388,"2014, 2015","Demographic"
"182","Working Age Population Group (15-64)_Males","Y15_64_M",388,"2014, 2015","Demographic"
"183","Working Age Population Group (15-64)_Total","Y15_64_T",388,"2014, 2015","Demographic"
"184","Young migrants share (migrants 15 to 29 over total migrants)_Total","YOUNGMIG_SH_T",192,"2013, 2012, 2011, 2014","Demographic"
"185","Youth Population Group (0-14)_Females","Y0_14_F",388,"2014, 2015","Demographic"
"186","Youth Population Group (0-14)_Males","Y0_14_M",388,"2014, 2015","Demographic"
"187","Youth Population Group (0-14)_Total","Y0_14_T",388,"2014, 2015","Demographic"
"188","..Of which: Employment in manufacturing (ISIC rev4)","EMP_IND_10_VC",318,"2012, 2013, 2014, 2009, 2011","Economic"
"189","..Of which: GVA in manufacturing (ISIC rev4)","GVA_IND_10_VC",324,"2012, 2013, 2011","Economic"
"190","Disposable Household Income","INCOME_DISP",384,"2013, 2011, 2010, 2012, 2014","Economic"
"191","Employment in agriculture, forestry and fishing (ISIC rev4)","EMP_IND_10_VA",373,"2012, 2014, 2013, 2011, 2007","Economic"
"192","Employment in construction (ISIC rev4)","EMP_IND_10_VF",373,"2012, 2014, 2013, 2011","Economic"
"193","Employment in distributive trade, repairs, transport, accommod., food serv. activities (ISIC rev4)","EMP_IND_10_VG_I",335,"2012, 2014, 2013, 2011","Economic"
"194","Employment in financial and insurance activities (ISIC rev4)","EMP_IND_10_VK",323,"2012, 2014, 2013, 2011","Economic"
"195","Employment in industry, including energy (ISIC rev4)","EMP_IND_10_VB_E",373,"2012, 2014, 2013, 2011","Economic"
"196","Employment in information and communication (ISIC rev4)","EMP_IND_10_VJ",308,"2012, 2014, 2013, 2009, 2010, 2008, 2011","Economic"
"197","Employment in other services (ISIC rev4)","EMP_IND_10_VR_U",328,"2012, 2014, 2013, 2011","Economic"
"198","Employment in prof., scientific, techn. activities, admin., support service activities (ISIC rev4)","EMP_IND_10_VM_N",326,"2012, 2014, 2013, 2011","Economic"
"199","Employment in public admin., compulsory s.s., education, human health (ISIC rev4)","EMP_IND_10_VO_Q",350,"2012, 2014, 2013, 2011","Economic"
"200","Employment in real estate activities (ISIC rev4)","EMP_IND_10_VL",310,"2012, 2014, 2013, 2011","Economic"
"201","GVA in agriculture, forestry and fishing (ISIC rev4)","GVA_IND_10_VA",346,"2012, 2013, 2011","Economic"
"202","GVA in construction (ISIC rev4)","GVA_IND_10_VF",340,"2012, 2013, 2011","Economic"
